Year Released,Album Length,Album Name,Artist
2022,3932817,I NEVER LIKED YOU,Future
2022,2923446,I NEVER LIKED YOU,Future
2022,3932817,I NEVER LIKED YOU,Future
2022,2923446,I NEVER LIKED YOU,Future
2022,3905700,I NEVER LIKED YOU (Instrumental),Future
2020,4969309,Pluto x Baby Pluto (Deluxe),Future
2020,3269252,Pluto x Baby Pluto,Future
2020,4964979,Pluto x Baby Pluto (Deluxe),Future
2020,3269252,Pluto x Baby Pluto,Future
2020,4215093,High Off Life,Future
2020,4215093,High Off Life,Future
2019,1217105,SAVE ME,Future
2019,1212224,SAVE ME,Future
2019,3718236,Future Hndrxx Presents: The WIZRD,Future
2019,3718232,Future Hndrxx Presents: The WIZRD,Future
2018,2976502,Future & Juice WRLD Present... WRLD ON DRUGS,Future
2018,2976475,Future & Juice WRLD Present... WRLD ON DRUGS,Future
2018,1909689,BEASTMODE 2,Future
2018,1909689,BEASTMODE 2,Future
2018,4649306,SUPERFLY (Original Motion Picture Soundtrack),Future
2017,2448052,SUPER SLIMEY,Future
2017,2449606,SUPER SLIMEY,Future
2017,4146298,HNDRXX,Future
2017,3775363,FUTURE,Future
2017,4600471,HNDRXX,Future
2017,4598890,HNDRXX,Future
2017,4460482,FUTURE,Future
2017,4246396,FUTURE,Future
2017,2006203,Zone,Future
2016,2544799,EVOL,Future
2016,2521733,EVOL,Future
2016,2392890,Purple Reign,Future
2015,2435958,What A Time To Be Alive,Drake
2015,2435958,What A Time To Be Alive,Drake
2015,5191840,DS2 (Deluxe),Future
2015,3641875,DS2 (Deluxe),Future
2015,1675385,Beast Mode,Future
2015,1303038,DS2 - Track by Track Commentary,Future
2015,3642339,DS2 (Deluxe),Future
2015,2304019,Monster,Future
2015,1400184,56 Nights,Future
2015,2779805,Welcome to the Future,Future
2015,1672377,Beast Mode (Instrumentals),Future
2015,1498784,Beast Mode,Future
2014,2787343,Monster,Future
2014,2692866,Hell and Angels,Future
2014,4010381,Honest,Future
2014,4010741,Honest,Future
2013,2392168,Future,Future
2013,2696346,Mexican Lingo,Future
2018,3977456,QUAVO HUNCHO,Quavo
2017,2493789,"Huncho Jack, Jack Huncho",Huncho Jack
2017,2281946,Quality Control Music,Quavo
2017,1995188,ATL,Quavo
2021,1707045,Sleazy,SleazyWorld Go
2020,2211990,The Sleazy Way,SleazyWorld Go
2020,1760858,Big Sleaz,SleazyWorld Go
2021,4339805,A Gangsta’s Pain: Reloaded,Moneybagg Yo
2021,4339805,A Gangsta’s Pain: Reloaded,Moneybagg Yo
2021,3090501,A Gangsta’s Pain,Moneybagg Yo
2021,3090501,A Gangsta’s Pain,Moneybagg Yo
2020,2306116,Code Red,Moneybagg Yo
2020,2306116,Code Red,Moneybagg Yo
2020,3697669,Time Served (Deluxe),Moneybagg Yo
2020,3700636,Time Served (Deluxe),Moneybagg Yo
2020,2474093,Time Served,Moneybagg Yo
2020,2474093,Time Served,Moneybagg Yo
2019,2427210,43VA HEARTLESS,Moneybagg Yo
2019,2432686,43VA HEARTLESS,Moneybagg Yo
2018,2624597,RESET,Moneybagg Yo
2018,2624597,RESET,Moneybagg Yo
2018,1420150,Bet On Me,Moneybagg Yo
2018,1419173,Bet On Me,Moneybagg Yo
2018,3052921,2 Heartless,Moneybagg Yo
2018,3052921,2 Heartless,Moneybagg Yo
2018,3052921,2 Heartless,Moneybagg Yo
2018,2992228,Money Bags From The Trap,Moneybagg Yo
2017,2585748,Fed Baby’s,Moneybagg Yo
2017,2660954,Federal 3X,Moneybagg Yo
2017,2662473,Federal 3X,Moneybagg Yo
2017,2152312,Heartless,Moneybagg Yo
2017,2153174,Heartless,Moneybagg Yo
2016,3674474,2 Federal,Moneybagg Yo
2016,1664674,All Gas No Brakes,Moneybagg Yo
2016,3718731,ELO: Everybody Lives On,Moneybagg Yo
2016,4417798,Federal Reloaded,Moneybagg Yo
2017,2996057,Hidden Figures - Original Score,Hans Zimmer
2014,3048690,G I R L,Pharrell Williams
2012,3230235,The Billionaire Boys Club Tape,Pharrell Williams
2006,7491204,In My Mind (Deluxe Edition),Pharrell Williams
2006,3865210,In My Mind,Pharrell Williams
2006,3865421,In My Mind,Pharrell Williams
2021,3592852,The Voice of the Heroes,Lil Baby
2021,3592852,The Voice of the Heroes,Lil Baby
2020,4885512,My Turn (Deluxe),Lil Baby
2020,4887271,My Turn (Deluxe),Lil Baby
2020,4632784,My Turn (Deluxe),Lil Baby
2020,4634543,My Turn (Deluxe),Lil Baby
2020,3652848,My Turn,Lil Baby
2020,3654607,My Turn,Lil Baby
2018,2496874,Street Gossip,Lil Baby
2018,2332540,Drip Harder,Lil Baby
2018,3082971,Harder Than Ever,Lil Baby
2017,2932435,Too Hard,Lil Baby
2017,1744557,2 The Hard Way,Lil Baby
2017,1743239,2 The Hard Way,Lil Baby
2017,2470150,Harder Than Hard,Lil Baby
2017,2395130,Perfect Timing,Lil Baby
2021,5417341,Hall of Fame 2.0,Polo G
